DANCE 2276A/B|ELEM MODERN DANCE TECH||Dance 2275A/B|Studies begun in Dance 2275A/B are continued and developed to give a deeper understanding of the movement skills and theoretical materials that apply to the technical study of Modern Dance.|Western Main Campus|6 lecture/laboratory hours.
DANCE 2275A/B|INTRO MODERN DANCE TECHNIQUE||Previous dance training or experience required.|Development of movement skills and application of theoretical knowledge that will assist the student in understanding and appreciating Modern Dance as a physical activity and an art form.|Western Main Campus|6 lecture/laboratory hours.
DANCE 2274A/B|MOVEMENT MAKING||Previous movement training or experience is recommended.|The ability to create movement combinations, patterns, and sequences based on specific guidelines or components is essential for those who work in applied movement fields such as fitness, recreation, and teaching. The building process, understanding and use of essential and accessory ingredients, and development of instructor skills will be considered.|Western Main Campus|4 lecture/laboratory hours.
DANCE 2270A/B|DANCE IMPROVISATION|||Students will explore improvisation as a process that facilitates the spontaneous response to cues and stimuli for the purpose of opening doorways to their own movement creativity. Topics will consider relaxation, improvisational states, structures for improvisations, participant and leader roles, building group trust, and the progression from spontaneity to form.|Western Main Campus|1 lecture hour, 3 laboratory hours.
DANCE 2174A/B|DANCE BASICS|||Students with no previous dance training develop movement awareness, coordination and skill through practice and analysis of basic movements and combinations from dance types such as modern, ballet, theatre, character and ballroom. Learning will include rhythm components associated with step and movement patterns.|Western Main Campus|6 lecture/laboratory hours.
DANCE 2172A/B|SPECIAL TOPICS IN DANCE|||Selected topics in the area of dance. Topics and course descriptions will be available at the Undergraduate Program office.|Western Main Campus|3 lecture hours.
CA 4411A/B/Y|PRODUCTION OR PERFORMANCE|||This self-reflexive experiential learning course provides students with the opportunity to propose and complete their own creative performance or production under the supervision of a faculty mentor.|Western Main Campus|3 lecture hours. Must be taken in fourth year of the Creative Arts and Production program.
CA 4410A/B/Y|INDUSTRY PLACEMENT|||This self-reflexive experiential learning course provides students with the opportunity to pursue an industry placement with an arts or media organization.|Western Main Campus|3 lecture hours. Must be taken in fourth year of the Creative Arts and Production program.
CA 4400A/B/Y|COLLABORATIVE CREATIVE PRACTICE|||This project-based capstone course takes place across two terms and involves all students proposing, developing, and participating in a cohort wide initiative (performance, installation, film, exhibition etc.|Western Main Campus|3 lecture hours. Must be taken in year 4 of the Creative Arts and Production program.
CA 4210A/B|ARTS-BASED ENTREPRENEURSHIP|||Arts-Based Entrepreneurship is intended as a practical guide to the initial questions creatives need to think about in starting a small business that is aligned with their talents and values.|Western Main Campus|3 lecture hours.
CA 4200A/B|PROFESSIONAL CREATIVE PRACTICE|||This course uses a case-based approach to identify key practical issues facing creative producers or those who are interested in creative or media industries. A focus on financial management and business and organizational principles helps students to develop a business plan, understand contracts, and protect their labour and intellectual property.|Western Main Campus|3 lecture hours.
CA 4099A/B|TOPICS IN CREATIVITY|||Extra Information: 3 lecture hours.|Western Main Campus|
CA 3300A/B|LEGAL ISSUES IN CREATIVE PRACTICE: CONTRACTS, COPYRIGHT AND INTELLECTUAL PROPERTY|||This course covers legal issues of relevance to different forms of creative activity and enterprises, including intellectual property, copyright, and contracts. It will include an exploration of the ways in which intellectual property is regulated, both nationally and internationally, through institutions, laws, and practices.|Western Main Campus|3 lecture hours.
CA 3210A/B|CREATIVE PRACTIVE-LED RESEARCH|||This course explores the reciprocal relationship between creativity and research, including research creation (the integration of artistic expression, scholarly investigation, and experimentation) and creative practice research (how we study the creative industries), as well as how disparate research-based skills inform creative activities, and garners support for creative enterprises.|Western Main Campus|3 lecture hours.
CA 3200F/G|SOUND, IMAGE, TEXT II|||This course builds on and extends the concepts, approaches, and practices developed in CA 2200A/B within a context that foregrounds equity, social justice, inclusion, and decolonization. Students will hone their self-reflexive creative practice by proposing, developing, and participating in a collaborative small group creative enterprise.|Western Main Campus|3 lecture hours. Must be taken in third year of the Creative Arts and Production program.
CA 3099A/B|TOPICS IN CREATIVITY|English 2099F/G.||This course, led by the Alice Munro Chair in Creativity, will allow students to explore creativity and its role in the production and study of the arts more broadly.|Western Main Campus|3 lecture hours.
CA 2210A/B|PLATFORMS, ARCHIVES, POLICIES|||This course introduces students to the principles and techniques of developing, delivering and archiving creative production within an integrated media environment. Students will learn the basics of digital design and apply these to establishing a digital presence for their creative activities. Students will complete the course with an e-portfolio.|Western Main Campus|3 lecture hours. Must be taken in second year of the Creative Arts and Production program.
CA 2200A/B|SOUND, IMAGE, TEXT I|||This course introduces students to key critical concepts related to creative practices. It explores these concepts through the practical integration students’ existing skills and creative practices, allowing them to explore collaborative creative practice in the context of classroom exercises and projects. This is a critically informed, practice-based course.|Western Main Campus|3 lecture hours. Must be taken in year 2 of the Creative Arts and Production program.
CA 2100A/B|CREATIVITY IN THE 21ST CENTURY|||This course uses case studies to explore creativity within a contemporary context. How have creativity and creative practices responded to and been shaped by the social, technological, political, and environmental challenges we face in the first decades of the twenty-first century? Topics may include labour, affect, entrepreneurialism, the gig economy.|Western Main Campus|3 lecture hours.
CA 1020A/B|INTRODUCTION TO CREATIVE ARTS|||Students will be introduced to critical ways of thinking about creativity and creative practice across a range of disciplines in the arts, music, and media. Topics covered may include: what creativity looks like; where creativity comes from; who can be creative; and why creativity matters.|Western Main Campus|3 hours.
COMPSCI 4490Z|THESIS|Computer Science 3380F/G/Z, Computer Science 4460Z, Computer Science 4470Y, Computer Science 4480Y.|(2.0 courses from: Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B; plus registration in the Honours Specialization in Computer Science) or (2.0 courses from: Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3319A/B, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3357A/B; plus registration in the Honours Specialization in Information Systems).|A project or research paper completed with minimal faculty supervision. An oral presentation plus a written submission will be required.|Western Main Campus|3 lecture hours.
COMPSCI 4483A/B|GAME DESIGN||Computer Science 3307A/B/Y, or Software Engineering 3350A/B.|Concepts and issues that arise in the development of games for entertainment and serious game applications, focusing on providing players with more engaging, immersive, and rewarding gameplay experiences. Group project normally required.|Western Main Campus|3 lecture hours.
